applicant_id,application_date,decision_date,visa_status,nationality,processing_center,job_title,job_info_education,education_level,naics_title,annual_income_usd,processing_time_days
A-15267-21239,28-09-2015,23-02-2016,Certified-Expired,JAPAN,IL,Logistics Coordinator,Bachelor's,Bachelor's,,58531,148
A-12146-66343,24-05-2012,03-04-2015,Certified-Expired,MALAYSIA,NEW YORK,ADVANCED SPECIALIST,Master's,Master's,Investment Banking and Securities Dealing,"1,20,500.00",1044
A-15181-93363,06-08-2015,02-02-2016,Certified-Expired,INDIA,CA,Pricing Analyst,Master's,Master's,,133900,180
A-15028-46190,17-03-2015,18-09-2015,Certified,CANADA,NEW YORK,Associate-Intermediate-Research/VP,Bachelor's,Bachelor's,Investment Banking and Securities Dealing,"1,27,200.00",185
A-15349-50892,24-12-2015,25-04-2016,Certified,SOUTH KOREA,CA,Engineer IV,Master's,Master's,,87339,123
A-14357-37594,24-12-2014,29-06-2015,Certified,INDIA,TEXAS,Computer Systems Analyst - IV,Master's,Master's,Computer Systems Design Services,"76,378.00",187
A-14136-70171,24-06-2014,12-11-2014,Certified-Expired,INDIA,WASHINGTON,Service Engineer 2- IEB or Other,Master's,Bachelor's,Software Publishers,"1,13,922.00",141
A-14219-96150,21-11-2014,30-04-2015,Certified,ISRAEL,CALIFORNIA,Product Marketing Manager,Master's,Master's,Custom Computer Programming Services,"1,50,030.00",160
A-15076-59063,18-03-2015,02-03-2016,Certified-Expired,SYRIA,FL,HOSPITALIST,Other,Other,,187199,350
A-15363-55436,07-01-2016,18-05-2016,Certified,INDIA,MO,EXPERT RF ENGINEER,Master's,Bachelor's,,98000,132
A-11179-89104,29-06-2011,11-08-2015,Denied,MEXICO,TEXAS,Elementary Bilingual Teacher,Bachelor's,Bachelor's,Elementary and Secondary Schools,"39,107.00",1504
A-15133-75941,13-05-2015,20-11-2015,Certified-Expired,INDIA,NY,Engagement Manager,Master's,Master's,,150000,191
A-15180-92526,09-07-2015,06-08-2015,Withdrawn,INDIA,CALIFORNIA,Process Support Engineer,Master's,Master's,Semiconductor and Other Electronic Component Manufacturing,"91,235.00",28
A-16052-75120,03-03-2016,26-10-2016,Certified,INDIA,MI,Project Engineer,Bachelor's,Master's,,"66,500.00",237
A-14210-93549,29-07-2014,26-01-2015,Certified-Expired,INDIA,CALIFORNIA,Software Engineer,Master's,Master's,Custom Computer Programming Services,"93,268.00",181
A-16274-57949,30-09-2016,30-09-2016,Withdrawn,SOUTH KOREA,AR,Poultry Processing Worker,,,,21840,0
A-16071-83382,04-04-2016,07-07-2016,Certified,SRI LANKA,CA,Applications Developer,Master's,Master's,,72505,94
A-14275-12528,15-10-2014,16-03-2015,Certified-Expired,INDIA,NEW JERSEY,HEMATOLOGY/MEDICAL ONCOLOGY PHYSICIAN,Other,Other,Offices of Physicians (except Mental Health Specialists),"1,80,000.00",152
A-15344-48861,12-01-2016,11-05-2016,Certified,RUSSIA,CA,GIS Product Engineer,Bachelor's,Bachelor's,,113381,120
A-14059-46544,21-03-2014,21-07-2015,Certified,INDIA,CALIFORNIA,Design Engineer,Master's,Master's,All Other Miscellaneous Electrical Equipment and Component Manufacturing,"81,245.00",487
A-16070-83033,06-05-2016,10-08-2016,Certified,INDIA,NY,Lead Programmer Analyst,Bachelor's,Master's,,113838,96
A-16036-69619,09-02-2016,09-06-2016,Certified,INDIA,CA,"Software Engineers-Applications (Senior Software Engineer, Quality)",Bachelor's,Bachelor's,,138362,121
A-14294-17647,24-10-2014,09-04-2015,Certified,INDIA,CALIFORNIA,Principal Account Strategist,Master's,Master's,Computer Systems Design Services,"1,28,190.00",167
A-15202-00498,21-07-2015,14-04-2016,Certified,INDIA,CA,Senior Software Engineer,Master's,Master's,,131269,268
A-15302-34090,06-11-2015,08-04-2016,Certified,INDIA,CA,Lead Electrical Engineer,Bachelor's,Bachelor's,,95243,154
A-13360-27976,26-12-2013,29-05-2015,Denied,SOUTH KOREA,OHIO,Poultry Processor,,Bachelor's,Poultry Processing,"20,821.00",519
A-14155-74779,04-06-2014,10-11-2014,Certified-Expired,TURKEY,VIRGINIA,"Team Lead, Software Engineer",Master's,Master's,Custom Computer Programming Services,"1,05,144.00",159
A-13343-22972,09-12-2013,30-03-2015,Certified-Expired,INDIA,TEXAS,Computer Systems Analyst - II,Bachelor's,Bachelor's,Computer Systems Design Services,"54,059.00",476
A-16046-73141,15-02-2016,09-06-2016,Certified,INDIA,FL,Software Developer,Bachelor's,Master's,,75000,115
A-14154-74431,03-07-2014,01-12-2014,Certified-Expired,CHINA,CALIFORNIA,Software Engineer,Master's,Master's,Computer Systems Design Services,"1,05,000.00",151
A-16214-37842,15-08-2016,25-10-2016,Certified,PANAMA,CA,Sr. Member of Technical Staff - Software Engineer,Master's,Doctorate,,"1,42,376.00",71
A-14279-13472,06-10-2014,02-03-2015,Certified-Expired,INDIA,CALIFORNIA,Component Design Engineer,Master's,Master's,Semiconductor and Other Electronic Component Manufacturing,"1,05,394.00",147
A-16244-48266,31-08-2016,09-11-2016,Certified,INDIA,NY,Software Developer / Analyst,Master's,Master's,,"69,077.00",70
A-15090-63019,07-04-2015,15-12-2015,Withdrawn,CHINA,CA,Software Engineer,Master's,Master's,,130000,252
A-15098-65096,08-04-2015,12-11-2015,Certified-Expired,POLAND,RI,General Accountant,Bachelor's,Master's,,80870,218
A-15159-84209,12-06-2015,17-12-2015,Certified-Expired,INDIA,RI,"Advisor, Strategic Product Development",Master's,Master's,,122138,188
A-16060-78034,04-03-2016,28-06-2016,Certified,INDIA,PA,Senior Analyst - webMethods Developer,Master's,Master's,,115000,116
A-16200-33718,25-07-2016,28-09-2016,Certified,INDIA,IL,"Software Development Engineer in Test, Lead",Master's,Master's,,102000,65
A-16042-72064,12-02-2016,17-10-2016,Certified,SOUTH KOREA,HI,Bookkeeper,High School,Bachelor's,,"38,232.04",248
A-15328-43215,16-12-2015,25-04-2016,Certified,INDIA,CA,ASIC Design Engineer,Master's,Master's,,175000,131
A-15012-41487,12-01-2015,25-01-2016,Denied,INDIA,AZ,Hospitalist Physician,Other,Other,,235000,378
A-14178-82990,28-06-2014,06-04-2015,Certified-Expired,INDIA,TEXAS,Computer Systems Analyst - II,Bachelor's,Bachelor's,Computer Systems Design Services,"54,059.00",282
A-15176-91427,03-07-2015,07-01-2016,Certified-Expired,CHINA,CO,Occupational Therapist,Master's,Master's,,45,188
A-16225-41841,22-08-2016,21-11-2016,Certified,UKRAINE,PA,Lead Software Engineer,Master's,Master's,,"1,00,000.00",91
A-16153-16735,08-06-2016,14-09-2016,Certified,INDIA,GA,Senior Business Analyst,Bachelor's,Bachelor's,,112000,98
A-15252-15751,10-09-2015,03-03-2016,Certified-Expired,CHINA,CA,Software Developer,Master's,Master's,,104926,175
A-10179-05814,04-08-2010,05-04-2016,Denied,NEPAL,NJ,Operations Research Analyst,Associate's,Associate's,,52500,2071
A-14134-69420,23-05-2014,24-10-2014,Certified-Expired,INDIA,PENNSYLVANIA,Project Controller Manager,Bachelor's,Other,Management Consulting Services,"1,09,555.00",154
A-14330-28950,26-11-2014,10-06-2015,Certified,INDIA,NEW JERSEY,Systems Software Engineer II (Multiple Openings),Bachelor's,Bachelor's,Custom Computer Programming Services,"97,011.00",196
A-15033-47433,02-02-2015,27-08-2015,Certified,INDIA,CALIFORNIA,Software Engineer,Master's,Master's,Computer Systems Design Services,"1,13,000.00",206
A-14302-20742,24-01-2015,26-08-2015,Certified,CANADA,CALIFORNIA,Art Lead,Associate's,Associate's,Software Publishers,"1,17,200.00",214
A-15050-52123,25-03-2015,14-04-2015,Withdrawn,INDIA,CALIFORNIA,Software Developer,Master's,Master's,Computer Systems Design and Related Services,"90,418.00",20
A-15196-98344,10-08-2015,03-02-2016,Certified-Expired,INDIA,WA,Senior IT Software Development Engineer - Strategic Enterprise Services IT or Other,Master's,Master's,,112986,177
A-16074-83995,12-04-2016,05-07-2016,Certified,INDIA,CA,Network Engineer,Master's,Bachelor's,,137000,84
A-13171-73918,20-06-2013,22-01-2015,Certified-Expired,MEXICO,CALIFORNIA,Baker,,,Retail Bakeries,"24,336.00",581
A-16260-53384,19-09-2016,01-12-2016,Certified,INDIA,VA,Software Architect (Functional Title: Software Developer/Engineer or Software/Systems Analyst),Bachelor's,Bachelor's,,"1,27,500.00",73
A-16205-35406,14-08-2016,01-09-2016,Withdrawn,VIETNAM,GA,"Full-Time, General Farm Laborer, Nursery, Harvest Labor",,,,9,18
A-15289-29585,16-10-2015,25-04-2016,Certified,PAKISTAN,VA,SENIOR PROGRAMMER ANALYST,Bachelor's,Bachelor's,,126000,192
A-16092-92097,28-04-2016,19-07-2016,Certified,INDIA,CA,Product Manager,Master's,Master's,,155542,82
A-14322-26537,21-11-2014,11-01-2016,Certified-Expired,INDIA,NJ,Systems Analyst,Master's,Master's,,93101,416
A-14255-06585,26-09-2014,18-11-2015,Certified-Expired,VENEZUELA,FL,HR Coordinator,,,,33114,418
A-16202-34384,01-08-2016,25-10-2016,Certified,INDIA,PA,Sr. Software Engineer,Master's,Bachelor's,,"1,12,000.00",85
A-15188-95210,08-07-2015,12-01-2016,Certified-Expired,SOUTH KOREA,CA,Welder Assistant,,,,23338,188
A-16119-03593,01-08-2016,16-11-2016,Certified,INDIA,TX,Project Manager - U.S.,Master's,Bachelor's,,"1,08,063.00",107
A-14154-74719,26-06-2014,14-11-2014,Certified-Expired,INDIA,WASHINGTON,Senior Support Escalation Engineer-Global Business Support-Delivery or Other,Master's,Bachelor's,Software Publishers,"1,18,963.00",141
A-16064-80339,07-03-2016,27-10-2016,Certified,INDIA,FL,Systems Analyst,Master's,Master's,,"74,298.00",234
A-14105-60684,16-05-2014,09-10-2014,Certified-Expired,CHINA,WASHINGTON,Software Development Engineer - Core Search Dev/Test or Other,Master's,Master's,Software Publishers,"1,00,000.00",146
A-15363-55297,17-02-2016,08-06-2016,Certified,INDIA,NC,Vice President; Production Services Lead,Bachelor's,Bachelor's,,120037,112
A-13164-71406,09-09-2013,23-04-2015,Certified,INDIA,CONNECTICUT,"Manager, Logistics Procurement",Bachelor's,Bachelor's,Other Communications Equipment Manufacturing,"1,24,654.00",591
A-16242-47452,15-09-2016,29-11-2016,Certified,INDIA,CA,Senior Programmer Analysts,Master's,Master's,,"98,883.00",75
A-14118-64303,20-05-2014,15-10-2014,Certified-Expired,INDIA,NEW YORK,"Vice President, Credit Analyst",Bachelor's,Bachelor's,Investment Banking and Securities Dealing,"1,40,000.00",148
A-14168-79404,17-10-2014,11-03-2015,Certified-Expired,TAIWAN,ILLINOIS,Product Development Chemist,Master's,Master's,"Frozen Cakes, Pies, and Other Pastries Manufacturing","55,078.00",145
A-15141-78944,18-09-2015,16-02-2016,Certified-Expired,INDIA,CA,Product Validation Engineer II,Master's,Master's,,109762,151
A-15146-79786,16-07-2015,06-01-2016,Certified-Expired,CHINA,WA,Software Engineer - Core MBS - Non-SMSG - GRN Dynamics or Other,Master's,Master's,,104800,174
A-15050-52002,19-02-2015,01-09-2015,Certified,INDIA,TEXAS,Computer Systems Analyst - II,Bachelor's,Bachelor's,Computer Systems Design Services,"64,438.00",194
A-14274-12227,02-02-2015,27-08-2015,Certified,CANADA,CALIFORNIA,Senior Web Designer,Bachelor's,Bachelor's,Software Publishers,"64,730.00",206
A-16089-90613,31-03-2016,15-06-2016,Certified,INDIA,TX,Computer Systems Analyst - II,Bachelor's,Bachelor's,,66144,76
A-11151-81964,02-06-2011,29-06-2015,Denied,SPAIN,NEW YORK,Foreign Language Teacher (Spanish),Other,Bachelor's,Elementary and Secondary Schools,"45,530.00",1488
A-15349-50905,17-12-2015,08-08-2016,Certified,CHINA,MA,"Cook, Specialty Chinese Food",,,,50918,235
A-15053-52752,17-03-2015,22-09-2015,Certified,INDIA,TEXAS,Software Development Advisor,Master's,Master's,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,"80,000.00",189
A-16196-32643,19-07-2016,20-09-2016,Certified,ITALY,TX,Director of Systems & Processes,Master's,Master's,,110150,63
A-16139-11760,31-07-2016,20-09-2016,Certified,FRANCE,MA,"Senior Systems Business Analyst, Global Business Services",Bachelor's,Master's,,84687,51
A-14157-75864,26-08-2014,15-01-2015,Certified-Expired,INDIA,NEW YORK,Senior IT Analyst,Master's,Master's,All Other Information Services,"95,000.00",142
A-16084-88828,30-03-2016,12-07-2016,Certified,INDIA,CA,Technical Account Manager,Master's,Master's,,136000,104
A-16013-60740,13-01-2016,27-07-2016,Denied,SOUTH KOREA,CA,MARKETING SPECIALIST,Bachelor's,Bachelor's,,39354,196
A-15208-02436,24-08-2015,11-02-2016,Certified-Expired,INDIA,VA,Technical Architect,Bachelor's,Bachelor's,,125757,171
A-13186-77957,08-07-2013,12-02-2015,Certified-Expired,INDIA,ILLINOIS,Software Engineer,Master's,Master's,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,"1,06,000.00",584
A-14129-68084,14-05-2014,29-01-2015,Certified-Expired,SOUTH KOREA,NORTH CAROLINA,Production Line Worker,,,Poultry Processing,9.3,260
A-14107-61376,22-07-2014,08-10-2015,Certified-Expired,INDIA,NJ,Architect 2 - Business Intelligence (Multiple Openings),Bachelor's,Bachelor's,,90459,443
A-16196-32681,15-07-2016,20-10-2016,Certified,BULGARIA,CA,Software Developer,Bachelor's,Bachelor's,,"91,562.00",97
A-14336-29930,16-12-2014,10-07-2015,Certified,CHINA,CALIFORNIA,Software Developer,Master's,Master's,Software Publishers,"1,12,000.00",206
A-14342-31841,09-12-2014,18-06-2015,Certified,VIETNAM,NEBRASKA,Poultry Processing Worker,,High School,Poultry Processing,11.6,191
A-15303-34217,21-04-2016,05-07-2016,Certified,INDIA,NJ,Senior Programmer Analyst,Master's,Master's,,103626,75
A-14259-07260,06-10-2014,27-02-2015,Certified-Expired,INDIA,MASSACHUSETTS,Sr. Software Engineer (Job Code 001),Master's,Bachelor's,Custom Computer Programming Services,"81,786.00",144
A-16237-45872,24-08-2016,07-11-2016,Certified,THAILAND,SC,Poultry Processor,,,,9,75
A-15175-90582,07-07-2015,04-04-2016,Certified-Expired,INDIA,TX,Systems Analyst,Bachelor's,Bachelor's,,83788,272
A-15322-41175,23-11-2015,05-04-2016,Certified-Expired,CHINA,CA,Software Engineer,Master's,Master's,,99939,134
A-16224-41489,13-09-2016,15-11-2016,Certified,CHINA,CA,Software Engineer 3,Master's,Master's,,"1,38,500.00",63
A-15183-94154,16-07-2015,07-01-2016,Certified-Expired,INDIA,NY,Engineering Services Architect,Bachelor's,Master's,,123344,175
A-14119-64533,08-05-2014,15-10-2014,Certified-Expired,PHILIPPINES,TEXAS,Assistant Professor (Endocrinology),Other,Other,"Colleges, Universities, and Professional Schools","1,65,000.00",160
A-15274-24300,08-10-2015,21-03-2016,Certified-Expired,INDIA,GA,Software Engineer,Master's,Master's,,93400,165
A-15121-72415,19-11-2015,29-06-2016,Certified,INDIA,IL,Senior Software Engineer,Master's,Master's,,69000,223
A-14295-18315,22-10-2014,26-08-2015,Certified,INDIA,KENTUCKY,Database Administrator III,Master's,Master's,Custom Computer Programming Services,"72,259.00",308
A-16257-52029,27-09-2016,23-11-2016,Certified,INDIA,CA,Software Engineer,Bachelor's,Bachelor's,,"1,13,000.00",57
A-16308-67764,27-10-2016,23-12-2016,Certified,BRAZIL,MD,OFFICE CLERK,,,,"40,872.00",57
