application_date,visa_status,nationality,processing_center,job_title,job_info_education,naics_title,annual_income_usd,processing_time_days,application_date_year,application_date_month,application_date_day,application_date_dayofweek,annual_income_usd_to_processing_time_days_ratio,visa_status_frequency,nationality_frequency
2015-01-06,Certified,SOUTH KOREA,MISSISSIPPI,Catfish Processor,Master's,Fresh and Frozen Seafood Processing,17035.2,232,2015,1,6,1,73.11244635193134,4398,617
2015-12-29,Withdrawn,CHINA,CA,Senior Software Engineer,Master's,Custom Computer Programming Services,152000.0,120,2015,12,29,1,1256.198347107438,361,750
2015-05-11,Certified-Expired,INDIA,CA,Senior Network Administrators,Master's,Custom Computer Programming Services,84302.0,192,2015,5,11,0,436.7979274611399,3341,4703
2016-07-21,Certified,INDIA,TX,Technology Lead - U.S. (Open Systems),Bachelor's,Custom Computer Programming Services,81952.0,77,2016,7,21,3,1050.6666666666667,4398,4703
2014-06-17,Certified-Expired,INDIA,WASHINGTON,IT Service Operations Engineer 2 - Corporate or Other,Master's,Software Publishers,92643.0,178,2014,6,17,1,517.5586592178771,3341,4703
2016-02-29,Certified,INDIA,MI,SAP Basis Engineer,Bachelor's,Custom Computer Programming Services,110000.0,88,2016,2,29,0,1235.9550561797753,4398,4703
2016-08-11,Certified,INDIA,CA,"Principal Specialist, Organizational Development",Master's,Custom Computer Programming Services,94162.0,76,2016,8,11,3,1222.8831168831168,4398,4703
2015-05-21,Certified-Expired,INDIA,MO,Software Engineer Lead,Master's,Custom Computer Programming Services,76419.0,194,2015,5,21,3,391.89230769230767,3341,4703
2014-09-16,Certified-Expired,INDIA,COLORADO,Computer Software Engineer,Bachelor's,Other Computer Related Services,124363.0,143,2014,9,16,1,863.6319444444445,3341,4703
2015-09-28,Certified-Expired,JAPAN,IL,Logistics Coordinator,Bachelor's,Custom Computer Programming Services,58531.0,148,2015,9,28,0,392.8255033557047,3341,51
2015-08-06,Certified-Expired,INDIA,CA,Pricing Analyst,Master's,Custom Computer Programming Services,133900.0,180,2015,8,6,3,739.7790055248619,3341,4703
2015-03-17,Certified,CANADA,NEW YORK,Associate-Intermediate-Research/VP,Bachelor's,Investment Banking and Securities Dealing,127200.0,185,2015,3,17,1,683.8709677419355,4398,280
2015-12-24,Certified,SOUTH KOREA,CA,Engineer IV,Master's,Custom Computer Programming Services,87339.0,123,2015,12,24,3,704.3467741935484,4398,617
2014-12-24,Certified,INDIA,TEXAS,Computer Systems Analyst - IV,Master's,Computer Systems Design Services,76378.0,187,2014,12,24,2,406.2659574468085,4398,4703
2014-06-24,Certified-Expired,INDIA,WASHINGTON,Service Engineer 2- IEB or Other,Master's,Software Publishers,113922.0,141,2014,6,24,1,802.2676056338029,3341,4703
2014-11-21,Certified,ISRAEL,CALIFORNIA,Product Marketing Manager,Master's,Custom Computer Programming Services,150030.0,160,2014,11,21,4,931.8633540372672,4398,31
2016-01-07,Certified,INDIA,MO,EXPERT RF ENGINEER,Master's,Custom Computer Programming Services,98000.0,132,2016,1,7,3,736.8421052631579,4398,4703
2015-05-13,Certified-Expired,INDIA,NY,Engagement Manager,Master's,Custom Computer Programming Services,150000.0,191,2015,5,13,2,781.25,3341,4703
2015-07-09,Withdrawn,INDIA,CALIFORNIA,Process Support Engineer,Master's,Semiconductor and Other Electronic Component Manufacturing,91235.0,28,2015,7,9,3,3146.0344827586205,361,4703
2016-03-03,Certified,INDIA,MI,Project Engineer,Bachelor's,Custom Computer Programming Services,66500.0,237,2016,3,3,3,279.4117647058824,4398,4703
2014-07-29,Certified-Expired,INDIA,CALIFORNIA,Software Engineer,Master's,Custom Computer Programming Services,93268.0,181,2014,7,29,1,512.4615384615385,3341,4703
2016-09-30,Withdrawn,SOUTH KOREA,AR,Poultry Processing Worker,Master's,Custom Computer Programming Services,21840.0,0,2016,9,30,4,21840.0,361,617
2016-04-04,Certified,SRI LANKA,CA,Applications Developer,Master's,Custom Computer Programming Services,72505.0,94,2016,4,4,0,763.2105263157895,4398,12
2016-01-12,Certified,RUSSIA,CA,GIS Product Engineer,Bachelor's,Custom Computer Programming Services,113381.0,120,2016,1,12,1,937.0330578512396,4398,56
2016-05-06,Certified,INDIA,NY,Lead Programmer Analyst,Bachelor's,Custom Computer Programming Services,113838.0,96,2016,5,6,4,1173.5876288659797,4398,4703
2016-02-09,Certified,INDIA,CA,"Software Engineers-Applications (Senior Software Engineer, Quality)",Bachelor's,Custom Computer Programming Services,138362.0,121,2016,2,9,1,1134.114754098361,4398,4703
2014-10-24,Certified,INDIA,CALIFORNIA,Principal Account Strategist,Master's,Computer Systems Design Services,128190.0,167,2014,10,24,4,763.0357142857143,4398,4703
2015-07-21,Certified,INDIA,CA,Senior Software Engineer,Master's,Custom Computer Programming Services,131269.0,268,2015,7,21,1,487.9888475836431,4398,4703
2015-11-06,Certified,INDIA,CA,Lead Electrical Engineer,Bachelor's,Custom Computer Programming Services,95243.0,154,2015,11,6,4,614.4709677419355,4398,4703
2014-06-04,Certified-Expired,TURKEY,VIRGINIA,"Team Lead, Software Engineer",Master's,Custom Computer Programming Services,105144.0,159,2014,6,4,2,657.15,3341,42
2016-02-15,Certified,INDIA,FL,Software Developer,Bachelor's,Custom Computer Programming Services,75000.0,115,2016,2,15,0,646.551724137931,4398,4703
2014-07-03,Certified-Expired,CHINA,CALIFORNIA,Software Engineer,Master's,Computer Systems Design Services,105000.0,151,2014,7,3,3,690.7894736842105,3341,750
2016-08-15,Certified,PANAMA,CA,Sr. Member of Technical Staff - Software Engineer,Master's,Custom Computer Programming Services,142376.0,71,2016,8,15,0,1977.4444444444443,4398,3
2014-10-06,Certified-Expired,INDIA,CALIFORNIA,Component Design Engineer,Master's,Semiconductor and Other Electronic Component Manufacturing,105394.0,147,2014,10,6,0,712.1216216216217,3341,4703
2016-08-31,Certified,INDIA,NY,Software Developer / Analyst,Master's,Custom Computer Programming Services,69077.0,70,2016,8,31,2,972.9154929577464,4398,4703
2015-04-07,Withdrawn,CHINA,CA,Software Engineer,Master's,Custom Computer Programming Services,130000.0,252,2015,4,7,1,513.8339920948616,361,750
2015-04-08,Certified-Expired,POLAND,RI,General Accountant,Bachelor's,Custom Computer Programming Services,80870.0,218,2015,4,8,2,369.26940639269407,3341,30
2015-06-12,Certified-Expired,INDIA,RI,"Advisor, Strategic Product Development",Master's,Custom Computer Programming Services,122138.0,188,2015,6,12,4,646.2328042328043,3341,4703
2016-03-04,Certified,INDIA,PA,Senior Analyst - webMethods Developer,Master's,Custom Computer Programming Services,115000.0,116,2016,3,4,4,982.9059829059828,4398,4703
2016-07-25,Certified,INDIA,IL,"Software Development Engineer in Test, Lead",Master's,Custom Computer Programming Services,102000.0,65,2016,7,25,0,1545.4545454545455,4398,4703
2016-02-12,Certified,SOUTH KOREA,HI,Bookkeeper,High School,Custom Computer Programming Services,38232.04,248,2016,2,12,4,153.5423293172691,4398,617
2014-06-28,Certified-Expired,INDIA,TEXAS,Computer Systems Analyst - II,Bachelor's,Computer Systems Design Services,54059.0,282,2014,6,28,5,191.02120141342755,3341,4703
2015-07-03,Certified-Expired,CHINA,CO,Occupational Therapist,Master's,Custom Computer Programming Services,93101.0,188,2015,7,3,4,492.5978835978836,3341,750
2016-08-22,Certified,UKRAINE,PA,Lead Software Engineer,Master's,Custom Computer Programming Services,100000.0,91,2016,8,22,0,1086.9565217391305,4398,43
2016-06-08,Certified,INDIA,GA,Senior Business Analyst,Bachelor's,Custom Computer Programming Services,112000.0,98,2016,6,8,2,1131.3131313131314,4398,4703
2015-09-10,Certified-Expired,CHINA,CA,Software Developer,Master's,Custom Computer Programming Services,104926.0,175,2015,9,10,3,596.1704545454545,3341,750
2014-05-23,Certified-Expired,INDIA,PENNSYLVANIA,Project Controller Manager,Bachelor's,Management Consulting Services,109555.0,154,2014,5,23,4,706.8064516129032,3341,4703
2014-11-26,Certified,INDIA,NEW JERSEY,Systems Software Engineer II (Multiple Openings),Bachelor's,Custom Computer Programming Services,97011.0,196,2014,11,26,2,492.4416243654823,4398,4703
2015-02-02,Certified,INDIA,CALIFORNIA,Software Engineer,Master's,Computer Systems Design Services,113000.0,206,2015,2,2,0,545.8937198067633,4398,4703
2015-01-24,Certified,CANADA,CALIFORNIA,Art Lead,Associate's,Software Publishers,117200.0,214,2015,1,24,5,545.1162790697674,4398,280
2015-03-25,Withdrawn,INDIA,CALIFORNIA,Software Developer,Master's,Computer Systems Design and Related Services,90418.0,20,2015,3,25,2,4305.619047619048,361,4703
2015-08-10,Certified-Expired,INDIA,WA,Senior IT Software Development Engineer - Strategic Enterprise Services IT or Other,Master's,Custom Computer Programming Services,112986.0,177,2015,8,10,0,634.7528089887641,3341,4703
2016-04-12,Certified,INDIA,CA,Network Engineer,Master's,Custom Computer Programming Services,137000.0,84,2016,4,12,1,1611.764705882353,4398,4703
2016-09-19,Certified,INDIA,VA,Software Architect (Functional Title: Software Developer/Engineer or Software/Systems Analyst),Bachelor's,Custom Computer Programming Services,127500.0,73,2016,9,19,0,1722.972972972973,4398,4703
2016-08-14,Withdrawn,VIETNAM,GA,"Full-Time, General Farm Laborer, Nursery, Harvest Labor",Master's,Custom Computer Programming Services,93101.0,18,2016,8,14,6,4900.052631578948,361,83
2015-10-16,Certified,PAKISTAN,VA,SENIOR PROGRAMMER ANALYST,Bachelor's,Custom Computer Programming Services,126000.0,192,2015,10,16,4,652.8497409326425,4398,63
2016-04-28,Certified,INDIA,CA,Product Manager,Master's,Custom Computer Programming Services,155542.0,82,2016,4,28,3,1874.0,4398,4703
2016-08-01,Certified,INDIA,PA,Sr. Software Engineer,Master's,Custom Computer Programming Services,112000.0,85,2016,8,1,0,1302.3255813953488,4398,4703
2015-07-08,Certified-Expired,SOUTH KOREA,CA,Welder Assistant,Master's,Custom Computer Programming Services,23338.0,188,2015,7,8,2,123.48148148148148,3341,617
2016-08-01,Certified,INDIA,TX,Project Manager - U.S.,Master's,Custom Computer Programming Services,108063.0,107,2016,8,1,0,1000.5833333333334,4398,4703
2014-06-26,Certified-Expired,INDIA,WASHINGTON,Senior Support Escalation Engineer-Global Business Support-Delivery or Other,Master's,Software Publishers,118963.0,141,2014,6,26,3,837.7676056338029,3341,4703
2016-03-07,Certified,INDIA,FL,Systems Analyst,Master's,Custom Computer Programming Services,74298.0,234,2016,3,7,0,316.1617021276596,4398,4703
2014-05-16,Certified-Expired,CHINA,WASHINGTON,Software Development Engineer - Core Search Dev/Test or Other,Master's,Software Publishers,100000.0,146,2014,5,16,4,680.2721088435375,3341,750
2016-02-17,Certified,INDIA,NC,Vice President; Production Services Lead,Bachelor's,Custom Computer Programming Services,120037.0,112,2016,2,17,2,1062.274336283186,4398,4703
2016-09-15,Certified,INDIA,CA,Senior Programmer Analysts,Master's,Custom Computer Programming Services,98883.0,75,2016,9,15,3,1301.092105263158,4398,4703
2014-05-20,Certified-Expired,INDIA,NEW YORK,"Vice President, Credit Analyst",Bachelor's,Investment Banking and Securities Dealing,140000.0,148,2014,5,20,1,939.5973154362416,3341,4703
2014-10-17,Certified-Expired,TAIWAN,ILLINOIS,Product Development Chemist,Master's,"Frozen Cakes, Pies, and Other Pastries Manufacturing",55078.0,145,2014,10,17,4,377.24657534246575,3341,84
2015-09-18,Certified-Expired,INDIA,CA,Product Validation Engineer II,Master's,Custom Computer Programming Services,109762.0,151,2015,9,18,4,722.1184210526316,3341,4703
2015-07-16,Certified-Expired,CHINA,WA,Software Engineer - Core MBS - Non-SMSG - GRN Dynamics or Other,Master's,Custom Computer Programming Services,104800.0,174,2015,7,16,3,598.8571428571429,3341,750
2015-02-19,Certified,INDIA,TEXAS,Computer Systems Analyst - II,Bachelor's,Computer Systems Design Services,64438.0,194,2015,2,19,3,330.4512820512821,4398,4703
2015-02-02,Certified,CANADA,CALIFORNIA,Senior Web Designer,Bachelor's,Software Publishers,64730.0,206,2015,2,2,0,312.70531400966183,4398,280
2016-03-31,Certified,INDIA,TX,Computer Systems Analyst - II,Bachelor's,Custom Computer Programming Services,66144.0,76,2016,3,31,3,859.012987012987,4398,4703
2015-12-17,Certified,CHINA,MA,"Cook, Specialty Chinese Food",Master's,Custom Computer Programming Services,50918.0,235,2015,12,17,3,215.7542372881356,4398,750
2015-03-17,Certified,INDIA,TEXAS,Software Development Advisor,Master's,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,80000.0,189,2015,3,17,1,421.05263157894734,4398,4703
2016-07-19,Certified,ITALY,TX,Director of Systems & Processes,Master's,Custom Computer Programming Services,110150.0,63,2016,7,19,1,1721.09375,4398,51
2016-07-31,Certified,FRANCE,MA,"Senior Systems Business Analyst, Global Business Services",Bachelor's,Custom Computer Programming Services,84687.0,51,2016,7,31,6,1628.5961538461538,4398,67
2014-08-26,Certified-Expired,INDIA,NEW YORK,Senior IT Analyst,Master's,All Other Information Services,95000.0,142,2014,8,26,1,664.3356643356643,3341,4703
2016-03-30,Certified,INDIA,CA,Technical Account Manager,Master's,Custom Computer Programming Services,136000.0,104,2016,3,30,2,1295.2380952380952,4398,4703
2016-01-13,Denied,SOUTH KOREA,CA,MARKETING SPECIALIST,Bachelor's,Custom Computer Programming Services,39354.0,196,2016,1,13,2,199.7664974619289,225,617
2015-08-24,Certified-Expired,INDIA,VA,Technical Architect,Bachelor's,Custom Computer Programming Services,125757.0,171,2015,8,24,0,731.1453488372093,3341,4703
2014-05-14,Certified-Expired,SOUTH KOREA,NORTH CAROLINA,Production Line Worker,Master's,Poultry Processing,93101.0,260,2014,5,14,2,356.7088122605364,3341,617
2016-07-15,Certified,BULGARIA,CA,Software Developer,Bachelor's,Custom Computer Programming Services,91562.0,97,2016,7,15,4,934.3061224489796,4398,11
2014-12-16,Certified,CHINA,CALIFORNIA,Software Developer,Master's,Software Publishers,112000.0,206,2014,12,16,1,541.0628019323672,4398,750
2014-12-09,Certified,VIETNAM,NEBRASKA,Poultry Processing Worker,High School,Poultry Processing,93101.0,191,2014,12,9,1,484.9010416666667,4398,83
2016-04-21,Certified,INDIA,NJ,Senior Programmer Analyst,Master's,Custom Computer Programming Services,103626.0,75,2016,4,21,3,1363.5,4398,4703
2014-10-06,Certified-Expired,INDIA,MASSACHUSETTS,Sr. Software Engineer (Job Code 001),Master's,Custom Computer Programming Services,81786.0,144,2014,10,6,0,564.0413793103448,3341,4703
2016-08-24,Certified,THAILAND,SC,Poultry Processor,Master's,Custom Computer Programming Services,93101.0,75,2016,8,24,2,1225.0131578947369,4398,15
2015-07-07,Certified-Expired,INDIA,TX,Systems Analyst,Bachelor's,Custom Computer Programming Services,83788.0,272,2015,7,7,1,306.9157509157509,3341,4703
2015-11-23,Certified-Expired,CHINA,CA,Software Engineer,Master's,Custom Computer Programming Services,99939.0,134,2015,11,23,0,740.2888888888889,3341,750
2016-09-13,Certified,CHINA,CA,Software Engineer 3,Master's,Custom Computer Programming Services,138500.0,63,2016,9,13,1,2164.0625,4398,750
2015-07-16,Certified-Expired,INDIA,NY,Engineering Services Architect,Bachelor's,Custom Computer Programming Services,123344.0,175,2015,7,16,3,700.8181818181819,3341,4703
2014-05-08,Certified-Expired,PHILIPPINES,TEXAS,Assistant Professor (Endocrinology),Other,"Colleges, Universities, and Professional Schools",165000.0,160,2014,5,8,3,1024.8447204968943,3341,118
2015-10-08,Certified-Expired,INDIA,GA,Software Engineer,Master's,Custom Computer Programming Services,93400.0,165,2015,10,8,3,562.6506024096385,3341,4703
2015-11-19,Certified,INDIA,IL,Senior Software Engineer,Master's,Custom Computer Programming Services,69000.0,223,2015,11,19,3,308.0357142857143,4398,4703
2014-10-22,Certified,INDIA,KENTUCKY,Database Administrator III,Master's,Custom Computer Programming Services,72259.0,308,2014,10,22,2,233.84789644012943,4398,4703
2016-09-27,Certified,INDIA,CA,Software Engineer,Bachelor's,Custom Computer Programming Services,113000.0,57,2016,9,27,1,1948.2758620689656,4398,4703
2016-10-27,Certified,BRAZIL,MD,OFFICE CLERK,Master's,Custom Computer Programming Services,40872.0,57,2016,10,27,3,704.6896551724138,4398,58
2015-09-25,Certified-Expired,ITALY,NY,Engagement Manager,Master's,Custom Computer Programming Services,150000.0,140,2015,9,25,4,1063.8297872340424,3341,51
2014-11-21,Certified,MEXICO,CALIFORNIA,Software Engineer,Bachelor's,Semiconductor and Other Electronic Component Manufacturing,107765.0,167,2014,11,21,4,641.4583333333334,4398,173
2016-11-28,Withdrawn,INDIA,CA,Visual Effects Artist,Master's,Custom Computer Programming Services,75004.0,0,2016,11,28,0,75004.0,361,4703
2016-08-16,Certified,INDIA,CA,"Lead Analyst, Oracle",Master's,Custom Computer Programming Services,120349.0,86,2016,8,16,1,1383.3218390804598,4398,4703
2016-01-23,Denied,INDIA,CA,CAD/CAM Engineer,Bachelor's,Custom Computer Programming Services,87422.0,277,2016,1,23,5,314.46762589928056,225,4703
2016-09-26,Certified,PHILIPPINES,GU,Carpenter,Master's,Custom Computer Programming Services,93101.0,58,2016,9,26,0,1577.9830508474577,4398,118
2015-10-26,Certified-Expired,SOUTH KOREA,TX,Combined food preparation and serving worker,Master's,Custom Computer Programming Services,93101.0,141,2015,10,26,0,655.6408450704225,3341,617
2016-10-14,Certified,INDIA,NJ,Computer Systems Analyst,Bachelor's,Custom Computer Programming Services,86070.0,54,2016,10,14,4,1564.909090909091,4398,4703
2014-06-27,Certified-Expired,INDIA,OHIO,Senior Programmer Analyst,Bachelor's,Computer Systems Design Services,93891.2,150,2014,6,27,4,621.7960264900662,3341,4703
2014-05-16,Certified-Expired,INDIA,NEW JERSEY,SENIOR TECHNICAL RECRUITER,Bachelor's,Computer Systems Design and Related Services,54558.0,164,2014,5,16,4,330.6545454545454,3341,4703
2015-04-06,Certified-Expired,INDIA,MI,Database Administrator,Master's,Custom Computer Programming Services,86216.0,211,2015,4,6,0,406.6792452830189,3341,4703
2015-06-01,Certified-Expired,POLAND,WA,Network Development Engineer III,Master's,Custom Computer Programming Services,98700.0,186,2015,6,1,0,527.807486631016,3341,30
